name,overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,position
Joseph Akpala,69.83,52.33,71.33,69.33,61.33,65.33,63.33,32.33,48.33,42.33,56.33,79.0,82.0,75.0,69.33,65.0,77.33,85.67,76.0,77.33,69.67,72.33,31.33,70.17,64.33,65.33,25.33,41.33,35.33,11.33,12.33,7.33,7.33,7.33,for
Gohi Bi Cyriac,71.0,64.75,73.25,67.5,68.5,66.5,71.0,57.75,59.75,43.75,70.75,83.25,85.0,87.75,71.25,80.0,67.5,90.25,68.75,61.0,69.75,47.75,23.75,71.0,64.25,68.0,16.0,27.75,25.75,14.75,13.75,7.75,11.75,10.75,for
Knowledge Musona,69.83,62.83,74.0,63.5,67.5,69.83,72.33,68.5,66.5,52.5,71.83,79.0,77.0,80.33,69.33,84.0,73.5,75.0,68.33,44.0,71.17,48.5,24.5,70.5,62.5,72.5,35.5,32.5,34.5,5.5,6.5,7.5,14.5,11.5,for
Michiel Jonckheere,62.8,58.4,56.2,50.2,65.4,61.4,62.6,61.2,60.2,64.8,64.6,64.2,64.6,64.8,62.6,70.4,65.2,57.0,69.8,47.4,62.4,57.8,59.2,57.6,63.0,54.2,46.2,47.2,43.2,15.2,7.2,13.2,11.2,10.2,for
Fernando Canesin Matos,68.67,62.67,58.33,46.33,68.0,59.33,76.67,66.33,60.33,63.67,74.67,82.0,78.67,80.67,68.0,80.0,61.33,60.67,51.67,55.0,62.33,51.33,38.33,62.33,62.67,62.33,22.33,28.33,26.33,15.33,9.33,12.33,10.33,10.33,for
