type,count,overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,attributes
for,5,70.99,71.01,69.21,62.08,68.26,63.28,73.33,64.56,58.28,59.38,71.67,74.94,75.17,70.41,66.44,69.77,72.11,60.2,63.9,60.71,63.79,59.06,33.96,72.78,66.58,62.78,37.79,37.2,36.5,11.44,8.84,10.44,11.64,7.84,free_kick_accuracy aggression agility
mid,8,67.36,53.76,56.55,62.54,66.36,44.67,56.91,53.22,51.3,61.36,65.54,66.5,66.2,69.39,66.01,70.1,61.81,65.78,67.53,64.63,61.01,62.54,51.95,55.23,61.61,57.8,47.42,49.61,42.92,10.54,11.67,11.54,8.8,9.8,curve stamina strength
def,6,67.83,54.45,32.62,65.62,63.05,37.62,53.55,44.45,34.45,56.95,60.42,58.03,56.07,56.83,66.2,65.17,46.48,71.92,56.87,66.93,39.98,70.65,68.78,40.12,48.25,48.28,69.22,71.85,71.38,12.45,8.95,11.12,9.28,9.62,shot_power volleys long_shots
gk,2,70.38,16.62,13.75,14.5,27.88,12.75,14.0,16.0,13.62,33.62,23.88,37.75,35.75,38.5,65.88,54.5,15.12,62.0,26.0,63.0,14.5,36.12,24.38,13.25,17.25,18.38,14.38,15.38,15.12,70.62,68.38,65.88,71.12,75.12,crossing long_passing short_passing
