type,count,overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,attributes
for,7,72.41,54.58,69.53,58.02,64.42,63.6,74.98,53.52,52.14,53.16,74.73,78.31,79.3,71.88,69.63,69.04,69.63,59.74,67.45,64.6,66.34,50.86,34.11,71.76,64.18,66.19,29.22,31.39,29.42,8.34,8.34,8.62,10.34,10.34,jumping aggression crossing
mid,10,73.41,66.62,55.62,60.34,74.41,50.5,73.52,63.2,53.14,68.27,75.56,73.82,73.12,72.03,71.86,68.42,70.06,66.53,73.04,68.68,60.48,69.57,59.84,67.09,69.01,58.67,54.04,59.96,53.73,9.8,11.0,10.9,10.1,10.3,finishing strength volleys
def,7,74.69,63.39,47.39,72.12,68.12,48.4,62.63,56.6,42.69,60.32,67.13,65.94,68.07,62.28,71.9,64.71,60.29,71.94,67.69,75.24,50.21,76.45,74.82,55.8,54.06,46.26,75.44,76.24,74.5,11.69,12.12,9.83,10.55,12.83,stamina penalties crossing
gk,2,74.76,21.5,21.43,22.81,29.16,21.64,21.5,32.62,43.0,25.16,24.24,52.5,48.5,38.5,78.16,44.5,36.52,68.0,26.0,67.0,21.72,27.16,21.66,21.78,30.93,33.22,21.95,22.38,21.64,78.81,71.81,70.66,71.16,76.66,free_kick_accuracy gk_kicking gk_positioning
