overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
60.0,57.0,30.0,42.0,69.0,50.0,63.0,56.0,49.0,67.0,65.0,69.0,68.0,57.0,56.0,69.0,62.0,44.0,51.0,40.0,45.0,38.0,49.0,55.0,57.0,63.0,30.0,58.0,46.0,6.0,14.0,6.0,8.0,7.0,2007
60.0,57.0,30.0,42.0,69.0,50.0,63.0,56.0,49.0,67.0,65.0,69.0,68.0,57.0,56.0,69.0,62.0,44.0,51.0,40.0,45.0,38.0,49.0,55.0,57.0,63.0,30.0,58.0,46.0,6.0,14.0,6.0,8.0,7.0,2013
63.8,56.8,39.8,41.8,68.8,49.8,67.6,55.8,48.8,66.8,69.6,70.8,73.8,65.8,58.2,57.0,68.2,52.0,71.0,68.8,61.0,54.6,56.8,58.6,58.4,62.8,29.8,57.8,45.8,5.8,13.8,5.8,7.8,6.8,2014
66.4,57.2,44.8,45.6,70.4,49.6,69.4,55.6,48.6,67.4,70.8,69.0,75.0,68.0,61.6,57.2,69.6,55.0,76.0,76.0,65.6,65.2,59.4,63.0,62.0,62.6,31.2,56.4,46.4,5.6,13.6,5.6,7.6,6.6,2015
70.5,70.0,52.5,62.0,76.0,50.0,73.67,56.0,49.0,70.0,74.83,69.0,76.0,68.0,71.67,58.0,70.0,55.0,77.67,76.0,66.0,66.0,60.0,68.83,66.83,63.0,40.0,52.0,51.33,6.0,14.0,6.0,8.0,7.0,2016
