overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
61.0,41.0,69.0,60.0,59.0,55.0,61.0,56.0,44.0,53.0,59.0,72.0,65.0,60.0,61.0,73.0,62.0,64.0,65.0,59.0,62.0,33.0,22.0,52.0,60.0,66.0,12.0,19.0,16.0,7.0,8.0,11.0,12.0,10.0,2007
61.0,41.0,69.0,60.0,59.0,55.0,61.0,56.0,44.0,53.0,59.0,72.0,65.0,60.0,61.0,73.0,62.0,64.0,65.0,59.0,62.0,33.0,22.0,52.0,60.0,66.0,12.0,19.0,16.0,7.0,8.0,11.0,12.0,10.0,2011
64.0,54.0,69.0,60.0,59.0,55.0,64.0,56.0,44.0,53.0,61.0,83.0,78.5,69.0,61.0,73.0,64.0,64.0,65.0,64.5,62.0,33.0,22.0,58.0,60.0,66.0,12.0,19.0,16.0,7.0,8.0,11.0,12.0,10.0,2012
70.55,59.73,75.09,65.0,61.0,55.0,67.0,65.64,70.36,53.0,66.0,83.0,78.55,69.0,68.0,73.0,75.09,72.73,67.18,70.82,64.0,43.36,22.0,74.0,60.0,66.0,16.73,21.18,19.27,7.0,8.0,11.0,12.0,10.0,2013
71.0,63.0,74.0,65.0,61.0,55.0,67.0,69.0,73.0,53.0,66.0,83.0,79.0,69.0,68.0,73.0,79.0,72.0,73.0,73.0,64.0,71.0,22.0,74.0,60.0,66.0,25.0,25.0,25.0,7.0,8.0,11.0,12.0,10.0,2014
71.89,63.67,72.44,65.67,61.67,62.56,69.44,64.33,75.33,53.67,67.56,81.44,78.89,69.0,71.33,73.0,83.67,70.22,73.0,74.33,68.0,71.67,22.67,73.78,60.67,66.67,17.0,21.67,19.67,7.67,8.67,11.67,12.67,10.67,2015
