overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
53.0,50.0,55.0,48.0,60.0,46.0,62.0,55.0,47.0,53.0,60.0,71.0,74.0,76.0,58.0,59.0,66.0,58.0,67.0,53.0,50.0,62.0,46.0,31.0,45.0,56.0,54.0,46.0,38.0,7.0,5.0,9.0,13.0,15.0,2007
53.0,50.0,55.0,48.0,60.0,46.0,62.0,55.0,47.0,53.0,60.0,71.0,74.0,76.0,58.0,59.0,66.0,58.0,67.0,53.0,50.0,62.0,46.0,31.0,45.0,56.0,54.0,46.0,38.0,7.0,5.0,9.0,13.0,15.0,2010
55.5,56.5,55.0,48.0,60.0,46.0,62.0,55.0,47.0,53.0,60.0,71.0,75.0,76.0,58.0,59.0,66.0,65.5,67.0,53.0,50.0,64.5,50.5,44.0,43.5,56.0,57.0,50.0,41.0,7.0,5.0,9.0,13.0,15.0,2013
57.86,66.29,54.43,48.0,60.0,46.0,62.0,55.0,47.0,55.29,60.0,71.0,76.0,76.0,58.0,59.0,66.29,73.57,70.71,54.14,50.0,68.43,55.0,58.14,44.57,56.0,58.86,52.57,44.0,7.0,5.0,9.0,13.0,15.0,2014
65.67,74.67,59.0,52.0,66.0,56.0,64.0,60.33,52.33,61.67,64.33,77.67,78.0,75.33,62.0,59.0,68.33,75.0,76.67,56.33,58.67,69.67,59.67,59.67,59.67,58.67,63.33,65.33,58.67,7.67,5.67,9.67,13.67,15.67,2015
69.0,75.0,62.0,54.0,69.0,61.0,67.0,63.0,55.0,62.0,67.0,78.0,79.0,75.0,65.0,59.0,69.0,75.0,75.0,55.33,63.0,77.33,63.0,61.67,64.0,60.0,67.0,72.0,66.0,8.0,6.0,10.0,14.0,16.0,2016
