overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
50.0,52.0,37.0,48.0,54.0,37.0,56.0,41.0,39.0,45.0,54.0,69.0,69.0,71.0,54.0,58.0,51.0,57.0,59.0,54.0,31.0,38.0,29.0,54.0,48.0,34.0,23.0,27.0,24.0,8.0,7.0,10.0,15.0,13.0,2007
50.0,52.0,37.0,48.0,54.0,37.0,56.0,41.0,39.0,45.0,54.0,69.0,69.0,71.0,54.0,58.0,51.0,57.0,59.0,54.0,31.0,38.0,29.0,54.0,48.0,34.0,23.0,27.0,24.0,8.0,7.0,10.0,15.0,13.0,2010
63.5,58.0,60.0,48.0,62.0,53.5,67.0,61.0,52.0,56.0,61.5,76.0,74.5,79.5,61.5,68.5,68.5,60.5,63.5,50.0,57.0,45.0,34.5,57.5,56.0,62.0,33.5,36.0,35.5,8.0,7.0,10.0,15.0,13.0,2011
67.0,62.0,57.0,48.0,67.5,55.0,71.0,72.0,59.0,64.5,69.0,76.0,75.0,80.0,66.5,79.0,71.0,68.0,66.0,53.0,59.0,46.0,44.0,58.0,67.0,62.0,46.5,45.0,47.0,8.0,7.0,10.0,15.0,13.0,2012
67.0,61.0,57.0,48.0,68.0,55.0,71.0,72.0,59.0,66.0,68.0,74.0,71.33,81.0,66.0,79.0,70.67,68.0,66.0,53.0,59.0,46.0,44.0,58.0,68.0,62.0,49.0,45.0,47.0,8.0,7.0,10.0,15.0,13.0,2013
67.33,62.0,57.0,46.67,68.33,55.0,71.33,72.0,59.0,66.0,68.0,71.0,67.67,78.33,66.33,79.0,70.0,68.0,66.67,53.33,59.0,48.0,47.33,59.67,68.0,62.0,49.0,45.0,47.0,8.0,7.0,10.0,15.0,13.0,2014
70.88,68.5,59.5,44.75,74.12,58.5,74.5,72.75,59.75,71.25,75.5,67.75,67.12,77.12,72.38,78.25,72.5,68.0,80.5,57.0,63.5,53.38,59.38,65.5,69.5,62.75,57.75,56.75,57.5,8.75,7.75,10.75,15.75,13.75,2015
73.67,71.67,61.33,45.0,77.0,62.67,76.67,73.0,60.0,74.0,78.33,68.0,68.0,77.0,73.33,78.0,75.0,68.0,84.0,58.0,66.67,58.0,63.0,66.33,72.67,63.0,63.0,67.67,64.67,9.0,8.0,11.0,16.0,14.0,2016
