overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
55.0,59.0,56.0,25.0,49.0,30.0,59.0,34.0,39.0,42.0,57.0,78.0,76.0,67.0,34.0,53.0,45.0,45.0,53.0,49.0,27.0,29.0,39.0,49.0,46.0,57.0,16.0,34.0,24.0,6.0,6.0,10.0,16.0,9.0,2007
55.0,58.25,56.0,25.0,49.0,30.0,59.0,34.0,39.0,42.0,57.0,83.25,82.0,67.0,34.0,53.0,45.0,45.0,53.0,49.0,27.0,29.0,39.0,49.0,46.0,57.0,16.25,34.0,24.0,6.0,6.0,10.0,16.0,9.0,2013
55.75,58.0,56.0,25.0,49.0,30.0,59.75,40.0,39.0,42.0,58.5,85.0,85.5,69.25,44.5,59.75,55.5,45.0,54.5,49.25,27.0,29.0,39.0,49.0,49.0,57.0,17.0,34.0,24.0,6.0,6.0,10.0,16.0,9.0,2014
58.5,60.5,56.0,25.0,49.0,30.0,62.33,42.0,39.0,42.0,60.67,84.17,85.67,77.17,48.0,71.33,59.0,45.0,64.33,46.0,27.0,29.0,39.0,51.67,50.0,57.0,17.0,34.0,24.0,6.0,6.0,10.0,16.0,9.0,2015
59.0,61.0,56.0,25.0,49.0,30.0,62.0,42.0,39.0,42.0,60.0,83.0,84.0,80.0,48.0,76.0,59.0,45.0,69.0,44.0,27.0,29.0,39.0,53.0,50.0,57.0,17.0,34.0,24.0,6.0,6.0,10.0,16.0,9.0,2016
