overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
65.0,50.0,66.0,49.0,60.0,59.0,67.0,63.0,60.0,59.0,68.0,82.0,84.0,82.0,66.0,92.0,60.0,32.0,70.0,56.0,62.0,45.0,27.0,65.0,58.0,65.0,28.0,27.0,22.0,9.0,5.0,15.0,10.0,11.0,2007
65.0,50.0,66.0,49.0,60.0,59.0,67.0,63.0,60.0,59.0,68.0,82.0,84.0,82.0,66.0,92.0,60.0,32.0,70.0,56.0,62.0,45.0,27.0,65.0,58.0,65.0,28.0,27.0,22.0,9.0,5.0,15.0,10.0,11.0,2011
74.5,64.0,68.0,48.5,71.0,69.0,80.5,72.0,62.0,63.0,79.5,92.5,87.0,93.0,73.5,93.5,68.0,45.5,81.0,34.0,67.0,45.0,27.0,73.5,70.0,65.0,26.0,27.0,22.0,9.0,5.0,15.0,10.0,11.0,2012
76.82,66.82,70.73,56.0,75.73,69.27,84.64,76.73,71.27,67.91,86.09,91.82,86.91,93.64,74.27,92.18,68.73,55.0,78.09,34.45,71.45,35.18,22.09,74.64,78.0,65.0,25.18,25.36,20.36,9.0,5.0,15.0,10.0,11.0,2013
78.5,70.0,68.0,56.0,76.17,68.0,84.0,78.0,74.0,72.0,86.0,92.17,84.17,94.17,74.0,92.17,69.0,54.83,76.17,35.33,74.17,33.0,21.0,74.0,78.67,63.0,25.0,25.0,20.0,8.83,4.83,14.83,9.83,10.83,2014
80.88,76.5,68.25,56.0,78.25,68.25,85.75,82.38,75.5,74.25,86.88,93.0,85.0,95.0,75.5,93.0,69.38,54.12,77.0,37.38,75.38,33.12,21.62,75.75,82.0,61.25,23.88,24.88,20.25,8.0,4.0,14.0,9.0,10.0,2015
82.0,79.0,70.0,56.0,80.0,73.2,87.0,81.0,76.8,74.4,88.0,93.0,85.0,95.0,79.0,93.0,71.2,55.0,77.0,42.4,78.0,34.0,26.0,76.0,82.0,62.6,16.0,24.0,22.0,8.0,4.0,14.0,9.0,10.0,2016
