overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
63.0,36.0,27.0,65.0,53.0,34.0,31.0,35.0,36.0,45.0,43.0,59.0,57.0,43.0,51.0,46.0,52.0,67.0,56.0,70.0,35.0,66.0,62.0,32.0,35.0,45.0,59.0,69.0,68.0,15.0,10.0,8.0,11.0,12.0,2007
55.5,28.5,25.5,57.5,45.5,26.5,23.5,27.5,28.5,37.5,35.5,51.5,49.5,35.5,43.5,46.0,44.5,59.5,48.5,62.5,27.5,58.5,54.5,24.5,27.5,37.5,51.5,61.5,60.5,15.0,10.0,8.0,11.0,12.0,2013
62.2,32.6,24.8,62.4,50.4,28.6,38.8,28.4,32.6,48.2,49.2,54.4,56.0,43.4,49.2,46.0,53.4,66.0,57.2,71.2,48.2,63.8,58.6,23.0,24.8,36.4,64.2,67.0,63.4,14.4,9.4,7.4,10.4,11.4,2014
65.71,24.14,23.57,65.86,50.14,24.29,37.14,24.14,29.14,49.29,50.14,55.0,60.14,47.29,53.29,46.43,52.57,73.57,62.71,76.71,49.14,65.86,61.86,23.14,23.57,29.14,70.14,69.57,66.71,14.14,9.14,7.14,10.14,11.14,2015
70.0,25.0,15.0,73.0,51.0,20.0,38.0,19.0,30.0,49.0,51.0,55.0,63.0,55.0,57.0,49.0,62.0,77.0,69.0,79.0,50.0,69.0,65.0,12.0,15.0,30.0,75.0,75.0,75.0,15.0,10.0,8.0,11.0,12.0,2016
