overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
60.0,52.0,25.0,53.0,61.0,22.0,35.0,21.0,26.0,51.0,41.0,63.0,70.0,44.0,61.0,58.0,38.0,67.0,64.0,73.0,22.0,60.0,61.0,20.0,49.0,42.0,63.0,62.0,64.0,15.0,15.0,14.0,7.0,9.0,2007
60.0,52.0,25.0,53.0,61.0,22.0,36.0,21.0,26.0,51.0,43.0,63.0,70.0,44.0,61.0,58.0,38.0,67.0,64.0,73.0,22.0,60.0,61.0,20.0,49.0,42.0,63.0,62.0,64.0,15.0,15.0,14.0,7.0,9.0,2014
63.4,55.2,21.0,53.8,62.2,22.8,43.0,21.8,26.8,54.2,46.2,63.0,68.4,44.0,61.8,58.0,38.8,67.0,64.0,73.0,22.8,60.8,72.2,20.8,49.8,42.8,66.2,66.4,68.0,15.8,15.8,14.8,7.8,9.8,2015
65.0,56.0,20.0,54.0,64.0,23.0,46.0,22.0,27.0,55.0,48.0,63.0,68.0,44.0,62.0,58.0,39.0,67.0,64.0,73.0,23.0,61.0,75.0,21.0,50.0,43.0,67.0,69.0,69.0,16.0,16.0,15.0,8.0,10.0,2016
