overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
64.0,54.0,52.0,65.0,65.0,63.0,54.0,41.0,50.0,59.0,62.0,59.0,64.0,55.0,63.0,58.0,79.0,62.0,91.0,86.0,62.0,75.0,64.0,65.0,64.0,51.0,56.0,65.0,60.0,8.0,8.0,13.0,9.0,13.0,2007
64.0,54.0,52.0,65.0,65.0,63.0,54.0,41.0,50.0,59.0,62.0,59.0,64.0,55.0,63.0,58.0,79.0,62.0,91.0,86.0,62.0,75.0,64.0,65.0,64.0,51.0,56.0,65.0,60.0,8.0,8.0,13.0,9.0,13.0,2014
65.33,56.0,54.67,65.67,66.33,64.33,54.67,41.67,50.67,61.0,63.33,57.0,64.0,55.0,64.33,58.0,79.67,61.33,91.67,86.67,64.0,75.67,64.67,67.67,64.67,51.67,56.67,65.67,60.67,8.67,8.67,13.67,9.67,13.67,2015
67.8,60.8,60.2,68.0,69.0,66.0,60.0,42.0,51.0,65.2,65.0,60.4,64.4,55.0,67.0,56.0,80.0,62.2,92.0,87.0,65.8,77.6,68.0,71.0,66.6,52.0,59.0,68.0,64.0,9.0,9.0,14.0,10.0,14.0,2016
