overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
76.0,44.0,50.0,74.0,67.0,53.0,39.0,24.0,51.0,63.0,66.0,71.0,64.0,63.0,68.0,76.0,66.0,78.0,78.0,80.0,48.0,76.0,68.0,68.0,70.0,73.0,75.0,78.0,74.0,8.0,14.5,63.0,14.0,14.0,2007
76.0,44.0,50.0,81.0,75.0,53.0,39.0,24.0,29.0,70.0,69.0,67.0,62.0,63.0,66.0,76.0,66.0,78.0,78.0,79.0,48.0,76.0,69.0,68.0,70.0,70.0,78.0,80.0,74.0,8.0,21.0,70.0,21.0,21.0,2008
76.0,44.0,50.0,80.0,75.0,53.0,42.0,24.0,29.0,70.0,68.0,68.5,67.0,63.0,66.0,76.0,66.0,78.0,78.0,79.0,48.0,75.0,80.0,77.0,70.0,76.5,80.0,78.5,74.0,8.0,21.0,70.0,21.0,21.0,2009
76.0,40.0,37.0,79.0,77.0,53.0,66.0,24.0,29.0,72.0,67.0,72.0,71.0,63.0,77.0,76.0,66.0,78.0,74.0,77.0,53.0,79.0,79.0,40.0,70.0,52.0,75.0,78.0,74.0,14.0,8.0,5.0,14.0,5.0,2010
77.5,45.0,45.0,79.5,74.5,59.5,56.0,24.0,29.0,76.5,66.5,58.5,65.5,66.0,74.0,65.0,71.5,83.0,67.5,79.5,63.0,80.0,79.0,40.0,62.0,52.0,73.5,79.0,79.5,14.0,8.0,5.0,14.0,5.0,2011
79.5,50.0,45.0,82.0,72.0,60.0,56.0,24.0,29.0,75.5,68.0,53.5,58.0,69.5,76.0,51.0,72.0,86.0,62.0,81.5,63.0,79.0,81.5,40.0,60.5,52.0,74.5,81.0,83.0,14.0,8.0,5.0,14.0,5.0,2012
77.5,45.0,43.33,81.33,66.5,43.17,53.0,24.0,29.0,71.67,64.0,50.67,50.83,69.0,75.67,51.0,72.0,82.33,63.67,80.0,57.17,78.0,80.5,40.0,64.0,52.0,74.33,80.17,81.17,14.0,8.0,5.0,14.0,5.0,2013
74.45,41.91,37.91,78.36,61.27,36.82,45.18,23.73,27.82,66.82,59.36,41.27,50.27,62.18,69.36,50.09,71.73,81.09,51.0,77.27,50.0,77.73,79.73,38.82,61.64,50.82,74.09,76.64,74.55,13.73,7.73,4.73,13.73,4.73,2014
74.5,38.5,29.5,77.5,61.5,32.5,44.5,23.5,23.5,67.5,59.5,34.0,51.0,60.0,67.5,50.0,71.5,80.0,49.0,76.0,50.5,77.5,79.5,34.5,49.5,46.5,75.5,76.5,74.5,13.5,7.5,4.5,13.5,4.5,2015
