overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
55.0,25.0,25.0,25.0,22.0,25.0,20.0,25.0,25.0,25.0,20.0,44.0,42.0,39.0,51.0,65.0,25.0,50.0,21.0,55.0,25.0,25.0,21.0,25.0,25.0,24.0,25.0,25.0,25.0,62.0,48.0,51.0,51.0,60.0,2007
55.0,25.0,25.0,25.0,22.0,25.0,20.0,25.0,25.0,25.0,20.0,44.0,42.0,39.0,51.0,65.0,25.0,50.0,21.0,55.0,25.0,25.0,21.0,25.0,25.0,24.0,25.0,25.0,25.0,62.0,48.0,51.0,51.0,60.0,2013
55.0,25.0,25.0,25.0,22.0,25.0,20.0,25.0,25.0,25.0,20.0,44.0,42.0,39.0,51.0,65.0,25.0,50.0,21.0,55.0,25.0,25.0,21.0,25.0,25.0,24.0,25.0,25.0,25.0,62.0,48.0,51.0,51.0,60.0,2014
57.5,14.0,18.0,19.0,23.0,14.0,21.0,12.0,12.0,18.0,21.0,44.0,42.0,39.0,53.5,65.0,22.0,50.0,21.0,55.0,13.0,19.0,22.0,18.0,11.0,22.0,15.0,13.0,13.0,63.0,51.5,52.5,56.5,62.0,2015
