overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
70.0,72.0,51.0,48.0,77.0,47.0,74.0,76.0,72.0,74.0,70.0,75.0,74.0,75.0,70.0,73.0,51.0,76.0,79.0,73.0,52.0,74.0,67.0,68.0,62.0,73.0,35.0,32.0,29.0,13.0,8.0,6.0,13.0,12.0,2007
70.33,72.0,52.0,48.0,75.67,47.0,76.0,74.67,72.0,74.0,71.0,75.0,72.67,75.67,70.0,73.0,55.67,73.33,76.67,73.0,52.0,74.0,67.0,68.0,62.0,73.0,35.0,32.0,29.0,13.0,8.0,6.0,13.0,12.0,2014
69.75,66.75,54.75,63.75,73.75,55.25,76.5,73.75,71.0,66.75,72.75,74.0,68.75,76.0,70.75,73.0,67.0,72.0,68.0,73.0,55.0,63.75,45.25,68.75,62.75,71.75,35.75,32.75,29.75,13.75,8.75,6.75,13.75,12.75,2015
69.0,64.0,55.0,64.0,74.0,58.0,76.0,71.0,69.0,65.0,73.0,74.0,68.0,76.0,71.0,73.0,67.0,72.0,68.0,73.0,54.0,64.0,38.0,69.0,63.0,72.0,36.0,33.0,30.0,14.0,9.0,7.0,14.0,13.0,2016
