overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
64.0,71.0,58.0,56.0,73.0,37.0,65.0,51.0,52.0,68.0,71.0,65.0,70.0,64.0,61.0,66.0,64.0,65.0,61.0,61.0,65.0,44.0,61.0,48.0,57.0,58.0,63.0,65.0,64.0,14.0,10.0,10.0,8.0,6.0,2007
64.0,71.0,58.0,56.0,73.0,37.0,65.0,51.0,52.0,68.0,71.0,65.0,70.0,64.0,61.0,66.0,64.0,65.0,61.0,61.0,65.0,44.0,61.0,48.0,57.0,58.0,63.0,65.0,64.0,14.0,10.0,10.0,8.0,6.0,2012
64.0,71.0,58.0,56.0,73.0,37.0,65.0,51.0,52.0,68.0,71.0,65.0,68.0,64.2,61.0,68.0,64.0,67.0,62.0,61.0,66.2,44.0,61.0,48.0,57.0,58.0,63.0,65.0,64.0,14.0,10.0,10.0,8.0,6.0,2013
66.0,69.5,58.0,56.0,73.0,42.0,65.0,53.5,52.0,68.0,71.0,65.0,68.0,65.0,65.0,69.0,67.5,67.0,62.0,61.0,68.0,44.0,61.0,55.0,67.0,58.0,63.0,65.0,64.0,14.0,10.0,10.0,8.0,6.0,2014
68.0,65.0,59.0,57.0,74.0,48.0,66.0,57.0,53.0,70.0,72.0,65.0,68.0,65.0,66.0,70.0,72.0,67.0,62.0,61.0,70.0,45.0,54.0,56.0,68.0,59.0,64.0,66.0,62.0,15.0,11.0,11.0,9.0,7.0,2015
