overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
43.0,53.0,47.0,66.0,60.0,62.0,62.0,54.0,55.0,57.0,60.0,43.0,44.0,65.0,32.0,72.0,41.0,71.0,38.0,31.0,43.0,44.0,15.0,70.0,52.0,48.0,43.0,48.0,22.0,11.0,12.0,14.0,16.0,8.0,2007
55.0,53.0,59.0,66.0,60.0,62.0,62.0,54.0,55.0,57.0,60.0,57.5,54.5,65.0,52.0,72.0,55.0,71.0,55.0,49.5,52.5,44.0,15.0,70.0,52.0,57.5,28.5,33.5,22.0,11.0,12.0,14.0,16.0,8.0,2009
67.0,53.0,71.0,66.0,60.0,62.0,62.0,54.0,55.0,57.0,60.0,72.0,65.0,65.0,72.0,72.0,69.0,71.0,72.0,68.0,62.0,44.0,15.0,70.0,52.0,67.0,14.0,19.0,22.0,11.0,12.0,14.0,16.0,8.0,2010
67.0,53.0,71.0,66.0,60.0,62.0,62.0,54.0,55.0,57.0,60.0,72.0,65.0,65.0,72.0,72.0,69.0,71.0,72.0,68.0,62.0,44.0,15.0,70.0,52.0,67.0,14.0,19.0,22.0,11.0,12.0,14.0,16.0,8.0,2015
67.0,53.0,71.0,66.0,60.0,62.0,62.0,54.0,55.0,57.0,60.0,72.0,65.0,65.0,72.0,72.0,69.0,71.0,72.0,68.0,62.0,47.33,15.0,70.0,52.0,67.0,14.0,19.0,22.0,11.0,12.0,14.0,16.0,8.0,2016
