overall_rating,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,year
53.0,48.0,50.0,42.0,54.0,48.0,59.0,39.0,39.0,48.0,50.0,64.0,82.0,56.0,40.0,62.0,53.0,41.0,55.0,43.0,35.0,35.0,21.0,47.0,45.0,57.0,22.0,26.0,26.0,11.0,12.0,13.0,14.0,13.0,2007
53.0,48.0,50.0,42.0,54.0,48.0,59.0,39.0,39.0,48.0,50.0,64.0,82.0,56.0,40.0,62.0,53.0,41.0,55.0,43.0,35.0,35.0,21.0,47.0,45.0,57.0,22.0,26.0,26.0,11.0,12.0,13.0,14.0,13.0,2012
58.78,55.22,50.0,50.33,61.33,48.0,63.0,51.0,39.0,52.67,55.0,68.89,82.0,60.0,51.0,66.0,55.0,47.0,61.67,59.33,39.44,54.11,48.11,47.0,55.0,57.0,55.78,55.56,53.67,11.0,12.0,13.0,14.0,13.0,2013
61.83,59.0,48.33,56.0,61.0,48.0,61.67,57.0,39.0,47.5,59.0,71.0,82.0,66.0,57.0,73.0,62.0,50.0,74.0,64.0,55.0,69.0,60.0,45.33,50.67,57.0,56.17,60.0,61.0,11.0,12.0,13.0,14.0,13.0,2014
63.0,62.33,44.67,56.67,62.0,48.67,61.67,59.0,45.0,56.0,59.0,71.0,82.0,68.0,63.0,78.33,59.33,53.33,76.0,65.33,55.67,69.33,60.67,49.0,49.67,57.67,55.33,58.67,61.0,11.67,12.67,13.67,14.67,13.67,2015
64.0,64.0,47.0,57.0,63.0,49.0,61.0,60.0,48.0,59.0,59.0,71.0,82.0,68.0,66.0,81.0,58.0,55.0,76.0,66.0,56.0,70.0,61.0,55.0,53.0,58.0,55.0,60.0,61.0,12.0,13.0,14.0,15.0,14.0,2016
